block,loop_start,loop_stop,source_half,T_median,T_mean,log_T_over_2pi,area_score,area_null_median,area_null_q95,area_null_q99,area_E95,area_p_jitter,area_best_shift,area_abs_best_shift,mean_score,mean_null_median,mean_null_q95,mean_null_q99,mean_E95,mean_p_jitter,mean_best_shift,mean_abs_best_shift,zero_mode_variance,residual_mean_square,residual_variance_fraction,count_map_median,residual_map_q05,residual_map_median,residual_map_q95
11,10001,11000,holdout,10304.025410695464,10303.694648067716,7.402412848031852,2.9740216784371385,0.9149128471288386,1.3026054299223018,1.4873949135206443,5.311189645341386,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,2.974197611033903,0.9147886538201513,1.2986239357510982,1.4727589703115294,5.365345642155545,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,1572.5026850170289,0.6070494995117187,0.0003858913883704887,2.9798347807882175,0.6829678039480136,0.9271664865509464,1.2775476737188887
12,11001,12000,holdout,11148.182917756163,11147.987219678831,7.481154730180967,3.2151929355081044,0.9373779030924438,1.3391975018827333,1.5349136990207726,5.668750452375164,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.2161625563697975,0.931232903175224,1.3415242365663702,1.5386390910909877,5.569041964179789,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,1519.3340937343598,0.6089042510986328,0.0004006099254417291,3.208181375508829,0.7149028305469882,0.9732964901360714,1.3674727992674807
13,12001,13000,holdout,11984.203475872899,11983.801449299775,7.553467618164871,3.0149933806988702,0.878958160239944,1.2685382863775532,1.4631297185123093,5.482916291536974,4.999750012499375e-05,0.0007500000000000284,0.0007500000000000284,3.0154760391567312,0.8809674315238908,1.2731100510816473,1.4468618129509987,5.443194646988531,4.999750012499375e-05,0.0007500000000000284,0.0007500000000000284,1631.7462748073576,0.6108358917236328,0.00037420481567420824,3.0170880476541075,0.6214151893216499,0.9220504873918227,1.2651967551436016
14,13001,14000,holdout,12812.37569279231,12811.955252363736,7.620289767398387,3.1635457500188218,0.8718887556219052,1.2533402593825875,1.4407770023287663,6.007728300462205,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,3.1633344848331677,0.875968308742655,1.2585480452799769,1.4351207185927424,5.978795941450424,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,1741.9311460154877,0.6164661102294922,0.0003537728931707473,3.169794751992471,0.7241418739446839,1.0045133746879664,1.3066131919908521
15,14001,15000,holdout,13633.37260549398,13633.131809852272,7.682398867547869,3.2528502661725702,0.9059817307025197,1.3178412639554273,1.52395324082647,5.698225598747828,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,3.253229610416865,0.9126125918085034,1.3177215563375306,1.5014279809147848,5.777746788026583,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,1728.4218833364255,0.6408572082519531,0.00037063849288087415,3.2451991794328006,0.6618239876251455,0.940067284650663,1.2925797819724125
16,15001,16000,holdout,14448.021912029386,14447.913016672957,7.740435725859601,3.0634894533779473,0.8564274492504753,1.2463070998817636,1.4223159255354778,5.660880224330316,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.062994249499805,0.8577312422071977,1.240271070777266,1.430182875582914,5.764793212607085,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,1795.6292790117036,0.6214030303955078,0.00034594449238513575,3.0571884244932015,0.762894864072726,0.9766719914290865,1.3424200996939601
17,16001,17000,holdout,15257.14386345597,15256.79263058415,7.794926056000422,3.32755037883581,0.9133808740546743,1.3175616987201557,1.5226796041670412,5.972993663861249,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,3.3273573965138556,0.9120462629930858,1.3160002288450356,1.5093718326513426,5.9791742072065395,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,1804.4221401223144,0.6195637817382813,0.00034324070208364244,3.3138067009651517,0.6953531532834535,0.976546425005044,1.333926600327267
18,17001,18000,holdout,16060.327412360582,16060.202413720179,7.846230307705553,3.407330151736426,0.9031457837222926,1.331774676722673,1.539410941730481,5.842313499878578,4.999750012499375e-05,0.0,0.0,3.406494704816952,0.8992181250570244,1.324519863939873,1.5355782702361687,5.895288804475282,4.999750012499375e-05,0.0,0.0,1742.6046132780607,0.621750503540039,0.00035666653307793526,3.399672577152126,0.6400126398945433,0.906852630359424,1.4182543745453025
19,18001,19000,holdout,16858.528087376744,16858.519054997578,7.894734859281881,3.1751534404428035,0.8885675309566325,1.2807408936595723,1.4644477741346917,5.830548749477906,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,3.1741003519677977,0.8875638035033601,1.2912461384593426,1.4922558078183565,5.6641976882980565,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,2034.0651465391693,0.6215597991943359,0.00030548182049751495,3.1777320478648203,0.6805802361172222,0.9385420579727684,1.3483033992821414
20,19001,20000,holdout,17652.254078499678,17652.070284144706,7.940741697627901,3.248989936436454,0.8651425477276737,1.2703221979916695,1.4680894073989157,5.883433156516076,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.247994708837057,0.8677136782216288,1.2706830692662787,1.4627824326867904,5.906853184170724,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,1914.704241645981,0.6295398101806641,0.0003286841261171966,3.2514153311658793,0.6875754397698585,0.9216555866479521,1.3087297713579416
