iy,ix,dx,dy,comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
6,11,0.71875,0.40625,2.0372082059090717,4.999750012499375e-05,0.9242746300269848,1.1705180424525041,1.2950065331197569,4.999750012499375e-05
6,12,0.78125,0.40625,2.037457832946233,4.999750012499375e-05,0.9249441256023097,1.1703828805440313,1.2832364625308272,4.999750012499375e-05
6,13,0.84375,0.40625,2.037823457072192,4.999750012499375e-05,0.9250421614465149,1.1711071030069897,1.2895813287255946,4.999750012499375e-05
6,14,0.90625,0.40625,2.0419672720705955,4.999750012499375e-05,0.924657822319995,1.170950488198075,1.2864749024874296,4.999750012499375e-05
6,15,0.96875,0.40625,2.039368084097856,4.999750012499375e-05,0.9248433774291582,1.1693571602272672,1.2932342041422387,4.999750012499375e-05
7,0,0.03125,0.46875,2.0459737677927583,4.999750012499375e-05,0.9273696453513605,1.1669343560904173,1.2829837112288152,4.999750012499375e-05
7,1,0.09375,0.46875,2.044056886589341,4.999750012499375e-05,0.9288875969989141,1.173605272730102,1.2985516076180208,4.999750012499375e-05
7,2,0.15625,0.46875,2.0409374059877075,4.999750012499375e-05,0.9236222771823792,1.1688245433547,1.2960040787141438,4.999750012499375e-05
7,3,0.21875,0.46875,2.0394356602067925,4.999750012499375e-05,0.9246983140794507,1.1670479732711492,1.2868855029900208,4.999750012499375e-05
7,4,0.28125,0.46875,2.040603144802295,4.999750012499375e-05,0.9251003601296499,1.1675108485625294,1.2883438931030644,4.999750012499375e-05
7,5,0.34375,0.46875,2.0421169778351387,4.999750012499375e-05,0.925533330592301,1.1706971137112767,1.2904473767369207,4.999750012499375e-05
7,6,0.40625,0.46875,2.043574047222725,4.999750012499375e-05,0.9258200754664753,1.1733071485611686,1.2989676591577117,4.999750012499375e-05
7,7,0.46875,0.46875,2.039781166074437,4.999750012499375e-05,0.9222474270331289,1.1688881378019031,1.2877854198024459,4.999750012499375e-05
7,8,0.53125,0.46875,2.037442583535595,4.999750012499375e-05,0.9239006781906387,1.1692380713312815,1.283891908607727,4.999750012499375e-05
7,9,0.59375,0.46875,2.0407355956262117,4.999750012499375e-05,0.925057210585137,1.1685851129864493,1.2862390087504467,4.999750012499375e-05
7,10,0.65625,0.46875,2.044816740197682,4.999750012499375e-05,0.9282866559178121,1.1717930005830015,1.2959717133554,4.999750012499375e-05
7,11,0.71875,0.46875,2.0345489285777902,4.999750012499375e-05,0.9214113708379332,1.1655356989308907,1.2903316613963014,4.999750012499375e-05
7,12,0.78125,0.46875,2.0428115517599306,4.999750012499375e-05,0.9276800359680333,1.1663638110015644,1.288118712253025,4.999750012499375e-05
7,13,0.84375,0.46875,2.0411064959996073,4.999750012499375e-05,0.9265253896255294,1.1689775699817846,1.2920395027093214,4.999750012499375e-05
7,14,0.90625,0.46875,2.037039724309897,4.999750012499375e-05,0.9239600825290062,1.1717641318839669,1.284595476242892,4.999750012499375e-05
7,15,0.96875,0.46875,2.0433108489952696,4.999750012499375e-05,0.9305811706462574,1.1714950112364122,1.2876063924086685,4.999750012499375e-05
8,0,0.03125,0.53125,2.043196447774974,4.999750012499375e-05,0.9297475615022615,1.1736376540709257,1.2865795881372097,4.999750012499375e-05
8,1,0.09375,0.53125,2.045397527067614,4.999750012499375e-05,0.9299718993361261,1.1733519849383645,1.29263620019103,4.999750012499375e-05
8,2,0.15625,0.53125,2.0467908010485063,4.999750012499375e-05,0.9304397206167107,1.1726222086033389,1.2894772796817964,4.999750012499375e-05
8,3,0.21875,0.53125,2.0389411570765197,4.999750012499375e-05,0.9237505363578344,1.1700326900658187,1.28934135165905,4.999750012499375e-05
8,4,0.28125,0.53125,2.0412132772615443,4.999750012499375e-05,0.9259833043110384,1.1741035581927766,1.2896375157018214,4.999750012499375e-05
8,5,0.34375,0.53125,2.043225381399104,4.999750012499375e-05,0.9269440955154074,1.1699014012306197,1.3033724782154938,4.999750012499375e-05
8,6,0.40625,0.53125,2.042143746469026,4.999750012499375e-05,0.925852543939026,1.1700781056948595,1.2936694860592668,4.999750012499375e-05
8,7,0.46875,0.53125,2.0476761987781935,4.999750012499375e-05,0.9285217097929519,1.1706899221584466,1.2911731929680323,4.999750012499375e-05
8,8,0.53125,0.53125,2.0448761047281305,4.999750012499375e-05,0.9274476046051277,1.1719290779274758,1.285997410006534,4.999750012499375e-05
8,9,0.59375,0.53125,2.041938176842642,4.999750012499375e-05,0.9231647869441884,1.17116470321229,1.2896921182008556,4.999750012499375e-05
8,10,0.65625,0.53125,2.041128114168217,4.999750012499375e-05,0.9255951431049205,1.1678530290514022,1.2889460342200696,4.999750012499375e-05
8,11,0.71875,0.53125,2.0390882302787454,4.999750012499375e-05,0.924373837644823,1.1729553003649487,1.2955589970012646,4.999750012499375e-05
8,12,0.78125,0.53125,2.039389008959422,4.999750012499375e-05,0.9246664454847986,1.1686866211555882,1.2892276581284599,4.999750012499375e-05
8,13,0.84375,0.53125,2.0409032447111985,4.999750012499375e-05,0.9257781634947194,1.1717909966996896,1.2939559453507383,4.999750012499375e-05
8,14,0.90625,0.53125,2.0381243985632325,4.999750012499375e-05,0.9271558520924963,1.1659670803146587,1.2814924907775376,4.999750012499375e-05
8,15,0.96875,0.53125,2.038734173533006,4.999750012499375e-05,0.9243243855522048,1.1640227100171376,1.2811013989652218,4.999750012499375e-05
9,0,0.03125,0.59375,2.047968093387986,4.999750012499375e-05,0.9310884987478429,1.1770675973404092,1.297074260691748,4.999750012499375e-05
9,1,0.09375,0.59375,2.048206526947289,4.999750012499375e-05,0.9311412478311292,1.1768425654842758,1.2948383492721456,4.999750012499375e-05
9,2,0.15625,0.59375,2.048955909663168,4.999750012499375e-05,0.9326723772389391,1.180599798123256,1.3020654920905195,4.999750012499375e-05
9,3,0.21875,0.59375,2.043846838548375,4.999750012499375e-05,0.9273048446031542,1.1719394106207845,1.2913736618060987,4.999750012499375e-05
9,4,0.28125,0.59375,2.0413537883431565,4.999750012499375e-05,0.9271118481773224,1.1725913136438892,1.2950118217848858,4.999750012499375e-05
9,5,0.34375,0.59375,2.0472566089515047,4.999750012499375e-05,0.9295360148944618,1.1737408409520034,1.3014672076581915,4.999750012499375e-05
9,6,0.40625,0.59375,2.0482887237537066,4.999750012499375e-05,0.9285654172859109,1.1694843891194018,1.2872057494072366,4.999750012499375e-05
9,7,0.46875,0.59375,2.0482713560824033,4.999750012499375e-05,0.9293906244911476,1.1718865672127134,1.2913509871973277,4.999750012499375e-05
9,8,0.53125,0.59375,2.041257999379617,4.999750012499375e-05,0.9267731708812723,1.1680432409253556,1.2892969071438074,4.999750012499375e-05
9,9,0.59375,0.59375,2.041647248682299,4.999750012499375e-05,0.9283873570508252,1.1766951158841892,1.2877392741073188,4.999750012499375e-05
