rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,16,1,13,0.84375,0.09375,2.04113564234527,0.8893219292254658
winding,16,1,14,0.90625,0.09375,2.0390589555900545,0.9666021593312938
winding,16,1,15,0.96875,0.09375,2.042195850320334,1.0910909029725209
winding,16,2,0,0.03125,0.15625,2.0455690499593535,1.071307026528597
winding,16,2,1,0.09375,0.15625,2.0402279624686885,1.0238254353832767
winding,16,2,2,0.15625,0.15625,2.0443886357727847,0.9814389665264494
winding,16,2,3,0.21875,0.15625,2.0447009997884655,0.9380087711890602
winding,16,2,4,0.28125,0.15625,2.04495985714374,0.9600936118554652
winding,16,2,5,0.34375,0.15625,2.042703937262987,0.8383999259628446
winding,16,2,6,0.40625,0.15625,2.0377983612524173,0.8501973896244673
winding,16,2,7,0.46875,0.15625,2.0389065607174715,0.8327562515562609
winding,16,2,8,0.53125,0.15625,2.039043057498151,0.8714982992712539
winding,16,2,9,0.59375,0.15625,2.038453763483601,0.9139612766513706
winding,16,2,10,0.65625,0.15625,2.0373863154516605,0.8566297127007051
winding,16,2,11,0.71875,0.15625,2.0390880203524984,0.8101656736920523
winding,16,2,12,0.78125,0.15625,2.042433054059244,0.8946174577369206
winding,16,2,13,0.84375,0.15625,2.040790814675446,0.9223587287297575
winding,16,2,14,0.90625,0.15625,2.042412066609099,1.026039056933845
winding,16,2,15,0.96875,0.15625,2.0394524487826016,1.0578441596770725
winding,16,3,0,0.03125,0.21875,2.0408216001870145,1.0525929101297546
winding,16,3,1,0.09375,0.21875,2.0359125962444704,1.0410742185678037
winding,16,3,2,0.15625,0.21875,2.035668180168945,0.9570560442973169
winding,16,3,3,0.21875,0.21875,2.04120164277041,0.9237895316858737
winding,16,3,4,0.28125,0.21875,2.037718359732496,0.8627646066961147
winding,16,3,5,0.34375,0.21875,2.0426448678099667,0.8141845897641313
winding,16,3,6,0.40625,0.21875,2.0433339948982874,0.8580443229396494
winding,16,3,7,0.46875,0.21875,2.041561980348154,0.8739866321332355
winding,16,3,8,0.53125,0.21875,2.037616145872744,0.8869542666434408
winding,16,3,9,0.59375,0.21875,2.0381262789132775,0.8474040634267933
winding,16,3,10,0.65625,0.21875,2.0379381832223546,0.8119421570519995
winding,16,3,11,0.71875,0.21875,2.0433251288246144,0.8004514190229738
winding,16,3,12,0.78125,0.21875,2.0407312958157267,0.8736383612616353
winding,16,3,13,0.84375,0.21875,2.041132306715005,0.9085024018788529
winding,16,3,14,0.90625,0.21875,2.037824765787511,1.0174946341334075
winding,16,3,15,0.96875,0.21875,2.04233724558211,0.9872254542713472
winding,16,4,0,0.03125,0.28125,2.0393774734122907,1.0731667039049972
winding,16,4,1,0.09375,0.28125,2.036192873074277,1.000578896531463
winding,16,4,2,0.15625,0.28125,2.0332254345093506,0.9119531610649934
winding,16,4,3,0.21875,0.28125,2.040402551790866,0.8557643124823451
winding,16,4,4,0.28125,0.28125,2.036308336911119,0.7921548002702458
winding,16,4,5,0.34375,0.28125,2.0418511896530656,0.8316477766176066
winding,16,4,6,0.40625,0.28125,2.044840339640727,0.8081378630644487
winding,16,4,7,0.46875,0.28125,2.033879945290604,0.8151502947796535
winding,16,4,8,0.53125,0.28125,2.0372229785770695,0.8517293642333704
winding,16,4,9,0.59375,0.28125,2.0349418634170964,0.8580653410208744
winding,16,4,10,0.65625,0.28125,2.0357070308451077,0.8157277392775524
winding,16,4,11,0.71875,0.28125,2.039633178206105,0.801696980371268
winding,16,4,12,0.78125,0.28125,2.035538926936385,0.857638105154859
winding,16,4,13,0.84375,0.28125,2.040140826795403,0.9343409618917854
winding,16,4,14,0.90625,0.28125,2.0363966344409348,0.9485462806477315
winding,16,4,15,0.96875,0.28125,2.0384108810111843,1.0364941113333321
winding,16,5,0,0.03125,0.34375,2.041850366520613,1.037690989679147
winding,16,5,1,0.09375,0.34375,2.0378059745180015,0.9497878271653931
winding,16,5,2,0.15625,0.34375,2.0377822964433006,0.8939363324448388
winding,16,5,3,0.21875,0.34375,2.038389375779044,0.8382137733958742
winding,16,5,4,0.28125,0.34375,2.040782172549387,0.7714005064036883
winding,16,5,5,0.34375,0.34375,2.046637844643153,0.8018569388005757
winding,16,5,6,0.40625,0.34375,2.0436284914107925,0.805342984210193
winding,16,5,7,0.46875,0.34375,2.044542857328588,0.8371779760542811
winding,16,5,8,0.53125,0.34375,2.0363329135209676,0.8169439088010062
