iy,ix,dx,dy,residual_comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
4,11,0.71875,0.28125,0.8007537682653177,0.5859707014649268,0.8092572262743378,0.8747854398923609,0.901309230314511,0.6073218606276164
4,12,0.78125,0.28125,0.8573991813593228,0.0943952802359882,0.8090208693451149,0.8702592097168114,0.8960209453825985,0.141316910762649
4,13,0.84375,0.28125,0.9348592333575142,0.000199990000499975,0.7931513651951256,0.8585047155313293,0.8841752859820781,0.0010448457168978286
4,14,0.90625,0.28125,0.9484918325126875,0.0008499575021248938,0.8000492250475981,0.8731376047872151,0.907845402006816,0.003022071118666289
4,15,0.96875,0.28125,1.0359197671300053,4.999750012499375e-05,0.7871447173456896,0.8576504514547487,0.8900901734893213,0.00039998000099995
5,0,0.03125,0.34375,1.0379843931743995,9.99950002499875e-05,0.8246627932832036,0.9016292440181092,0.9363255675756433,0.0006399680015999199
5,1,0.09375,0.34375,0.9498841956661465,0.001399930003499825,0.8040878954906157,0.8764473103521904,0.9119181930024366,0.004424470134517965
5,2,0.15625,0.34375,0.8937593958039548,0.02589870506474676,0.8154562150480602,0.8817042617085029,0.9104418490586966,0.048043974612863555
5,3,0.21875,0.34375,0.8382059517679196,0.14209289535523223,0.795501838136639,0.8606331466549764,0.8884508133219962,0.1976944631029318
5,4,0.28125,0.34375,0.7710767616752762,0.6620668966551673,0.7869632919102756,0.8497954277040224,0.8753393082540035,0.6752554802538758
5,5,0.34375,0.34375,0.8015878229848141,0.5262236888155593,0.8038740640763073,0.8641742486750907,0.8900515741251006,0.5543755734023998
5,6,0.40625,0.34375,0.8047666565836531,0.45887705614719265,0.8008833876848127,0.8648196070863224,0.8919478689529751,0.4935820435868963
5,7,0.46875,0.34375,0.8365154245948547,0.20153992300384982,0.8040857418419192,0.867571258304263,0.8933653264025749,0.2605768701463917
5,8,0.53125,0.34375,0.8166865778582523,0.3497825108744563,0.8011649259548024,0.8682739391602645,0.8954183385504877,0.40100852100252127
5,9,0.59375,0.34375,0.8682844464129857,0.04904754762261887,0.8028049719442469,0.8678997167143507,0.8947896250140382,0.08206648491104857
5,10,0.65625,0.34375,0.8478976582606252,0.05764711764411779,0.788755161874133,0.8508045469296837,0.8779809190617801,0.09399784787830671
5,11,0.71875,0.34375,0.817246566287314,0.25298735063246836,0.7933465500332125,0.852655897203573,0.8774288033047047,0.3128732452266275
5,12,0.78125,0.34375,0.8791526493298,0.05669716514174291,0.8216593719746077,0.8813539061397706,0.9062084220150796,0.0930415017710653
5,13,0.84375,0.34375,0.8951612081666588,0.006449677516124194,0.7993379169663244,0.8629877894464032,0.8883538138260516,0.016187425922821505
5,14,0.90625,0.34375,0.8825734123052783,0.02589870506474676,0.8014722922638534,0.8698110960650947,0.8974905036992782,0.048043974612863555
5,15,0.96875,0.34375,0.9912214717904478,9.99950002499875e-05,0.8040496517522355,0.8727081462168609,0.9005972802815698,0.0006399680015999199
6,0,0.03125,0.40625,0.888259681303731,0.014599270036498175,0.7948546589980323,0.86502250062861,0.8939565841153372,0.029899305034748264
6,1,0.09375,0.40625,0.9009066199431691,0.011749412529373532,0.8107914574471556,0.8756531287417193,0.9040964755722275,0.02527604712201365
6,2,0.15625,0.40625,0.85359852226556,0.0952452377381131,0.8009218719944867,0.8670485207973038,0.8953879964378265,0.1414588230126066
6,3,0.21875,0.40625,0.8559764807965609,0.1431428428578571,0.8135905233823029,0.8792819983137745,0.9068840733788733,0.1980787447114131
6,4,0.28125,0.40625,0.8801044275715526,0.03899805009749512,0.8118097970553462,0.8750421317698029,0.9006532411010578,0.06771553314226181
6,5,0.34375,0.40625,0.8095023806716232,0.2731863406829659,0.7856126037976183,0.8498762178831607,0.8767314381624549,0.33144883040208184
6,6,0.40625,0.40625,0.8677330079944966,0.07634618269086546,0.8120205952558217,0.8766390591411082,0.9039212412928336,0.11703366927462011
6,7,0.46875,0.40625,0.8102784001121167,0.2673866306684666,0.7877501052222128,0.847673851757352,0.8720814010587422,0.32751663852214086
6,8,0.53125,0.40625,0.8077573997195043,0.22313884305784712,0.7809629132150806,0.8374649721017798,0.8603609729447947,0.28705298403421536
6,9,0.59375,0.40625,0.8390199089186442,0.059947002649867506,0.7839354072815812,0.8419002682657378,0.8671825886783252,0.09651844451802567
6,10,0.65625,0.40625,0.7993555796055651,0.28923553822308884,0.77942074399649,0.8386181604905117,0.8646064031755222,0.34381322408533954
6,11,0.71875,0.40625,0.817360713308191,0.2914354282285886,0.797149138921222,0.857307371833082,0.8819286258018937,0.34381322408533954
6,12,0.78125,0.40625,0.8463527466987837,0.09214539273036348,0.7995355428697655,0.8574422113741607,0.8809610964201463,0.13876012081748854
6,13,0.84375,0.40625,0.8877991576193202,0.02104894755262237,0.8083537788241216,0.8725873519008933,0.8983884394389376,0.040212914727397964
6,14,0.90625,0.40625,0.891562204749257,0.01609919504024799,0.8046229763368281,0.8709910285541487,0.8990227152735084,0.03245192071105107
6,15,0.96875,0.40625,0.8897970088708802,0.020198990050497474,0.8010089937072045,0.869556668927237,0.9014829375765885,0.03947283551852942
7,0,0.03125,0.46875,0.8581709809723145,0.05179741012949352,0.7968880143783574,0.8590356331707565,0.8861881435180219,0.0855492709235506
7,1,0.09375,0.46875,0.8711809722315177,0.0663966801659917,0.8094467554536443,0.87660325035885,0.9040385698218663,0.10557484548132842
7,2,0.15625,0.46875,0.8301613954075803,0.34113294335283234,0.815622469906071,0.8752944188567773,0.8991073767652897,0.3951585226168556
7,3,0.21875,0.46875,0.8513097168711675,0.3050847457627119,0.8309097602803409,0.8969792536339728,0.9247174130985423,0.3550077041602466
7,4,0.28125,0.46875,0.9141101378382465,0.005349732513374331,0.8113450433463782,0.8766241466160005,0.903617421904418,0.013833651751755846
7,5,0.34375,0.46875,0.9251015306080305,0.002999850007499625,0.8118781697473757,0.87898130530813,0.9069026517817602,0.008439138482636308
7,6,0.40625,0.46875,0.8634760536565022,0.09169541522923853,0.8123036927782834,0.8760728264952352,0.9026682754639388,0.13876012081748854
7,7,0.46875,0.46875,0.8240560248468619,0.2903854807259637,0.8025848895364673,0.8684944942147242,0.8966195202083904,0.34381322408533954
7,8,0.53125,0.46875,0.7973236537502887,0.2725863706814659,0.7752399540726718,0.835849304228193,0.8605065165125818,0.33144883040208184
7,9,0.59375,0.46875,0.8394561201074372,0.07369631518424079,0.7878531977081438,0.8460419288786274,0.870624709991188,0.1143409496191857
7,10,0.65625,0.46875,0.8475174110360896,0.03474826258687066,0.7737298456547792,0.8407072434900369,0.8673874212258262,0.06220667987579642
7,11,0.71875,0.46875,0.8115393901909721,0.1984900754962252,0.7808107551683692,0.8415500347953637,0.866328907485189,0.25852108409807933
7,12,0.78125,0.46875,0.8297408883693501,0.2525873706314684,0.804804300091926,0.8663844285421056,0.8907811936613559,0.3128732452266275
7,13,0.84375,0.46875,0.8215286827753033,0.3833308334583271,0.8100996636430077,0.8744548821828905,0.9023713063788364,0.4304065498479462
7,14,0.90625,0.46875,0.8936200311882679,0.014099295035248238,0.8029572605530189,0.8715205477942473,0.9001709549047823,0.029108222008254428
7,15,0.96875,0.46875,0.9156258856950769,0.0071996400179991,0.813031812212047,0.8825481484058568,0.9117165794743087,0.017722190813536244
8,0,0.03125,0.53125,0.8580282037757069,0.09749512524373781,0.8047352814855826,0.8716214289044092,0.8994827709766804,0.1426214403565536
8,1,0.09375,0.53125,0.8594157084835228,0.10244487775611219,0.8073578101514236,0.8745201951007385,0.9028044649239122,0.14816886274330351
8,2,0.15625,0.53125,0.8259782772335303,0.3703814809259537,0.8130825179289962,0.8779710437975574,0.9049167078485141,0.421411818297974
8,3,0.21875,0.53125,0.8125945915067768,0.6566671666416679,0.8283877653373855,0.8946866217279515,0.9224983237604255,0.6724271786410679
8,4,0.28125,0.53125,0.8762955201000141,0.012299385030748462,0.7961097329528244,0.8548744930914598,0.8787386680458925,0.026021839403897573
8,5,0.34375,0.53125,0.8960073309650514,0.0038498075096245186,0.7951342421154861,0.8559035901297387,0.8811632873280608,0.010374218131198702
8,6,0.40625,0.53125,0.8602231054434842,0.028298585070746462,0.7886888028577352,0.8503973180431124,0.8751395070663426,0.052118257396482695
8,7,0.46875,0.53125,0.860242918833614,0.04139793010349482,0.7935863934897942,0.8570598030012954,0.8826192346324474,0.07112664501003138
8,8,0.53125,0.53125,0.7866688879257141,0.39093045347732613,0.7762846320348376,0.8387549010764218,0.8639395670022568,0.43512259169650214
8,9,0.59375,0.53125,0.839962265049413,0.15549222538873056,0.7996230846384056,0.8656943427788346,0.8935637217502803,0.20840842774615195
8,10,0.65625,0.53125,0.8484906347395604,0.03879806009699515,0.7767760686208249,0.8433789159314242,0.8709496569233224,0.06771553314226181
8,11,0.71875,0.53125,0.8489455269910052,0.0287985600719964,0.7764265603827335,0.8384844117658953,0.8652332812172832,0.05266022413165056
8,12,0.78125,0.53125,0.8287056556970412,0.23018849057547122,0.8007594606421196,0.8615814076664523,0.88677375487725,0.29172402766000316
8,13,0.84375,0.53125,0.8845706769070462,0.01559922003899805,0.7973440436604852,0.8634388242236827,0.8915627328022556,0.03169365341256747
8,14,0.90625,0.53125,0.8835181298978246,0.010199490025498725,0.7932421254462685,0.8564916845402124,0.883772203666651,0.022904117951997136
8,15,0.96875,0.53125,0.9171828068577165,0.0010999450027498626,0.8004646472787234,0.8623524724421688,0.8879708315792865,0.0036569600091424003
9,0,0.03125,0.59375,0.861473268412602,0.0303984800759962,0.7901156160109837,0.8526046095558408,0.8777392603645037,0.054802893658134
9,1,0.09375,0.59375,0.870539983403341,0.06309684515774211,0.8064818606464017,0.8755015448769539,0.9063048541120917,0.10095495225238738
9,2,0.15625,0.59375,0.8145032139901671,0.39403029848507576,0.8039711251787205,0.8694525121404862,0.8980070199842306,0.4366742701825948
9,3,0.21875,0.59375,0.8569413733505428,0.09619519024048798,0.8040471814219985,0.8702986400274959,0.8991308791082396,0.14152855575612025
9,4,0.28125,0.59375,0.9050340288633302,0.0017499125043747813,0.7930245296913744,0.8566577666026497,0.883188839914514,0.005209041873487721
9,5,0.34375,0.59375,0.8977603951200014,0.00199990000499975,0.7860011351985454,0.8483683909448434,0.8754256069765834,0.005884763233102713
9,6,0.40625,0.59375,0.8801923013142842,0.008099595020248988,0.7838104165700102,0.8491812812804502,0.8769198993959743,0.0191990400479976
