omega,direct_score,smooth_score
5.105000000000001759e-01,2.499866497933113330e+00,1.684151226214230856e+00
5.110000000000001208e-01,2.500725161550200859e+00,1.686722987401616747e+00
5.115000000000000657e-01,2.470425077611814846e+00,1.676959987448046974e+00
5.120000000000001217e-01,2.408643221320064143e+00,1.664422076621531188e+00
5.125000000000001776e-01,2.314671119538944666e+00,1.639127882325955854e+00
5.130000000000001226e-01,2.187431124558619100e+00,1.604210824083032616e+00
5.135000000000000675e-01,2.025549878870395393e+00,1.561106387701331588e+00
5.140000000000001235e-01,1.827665604463544202e+00,1.505415844715885409e+00
5.145000000000001794e-01,1.593460490806793528e+00,1.444567262547585162e+00
5.150000000000001243e-01,1.326644451309575201e+00,1.375461670062981590e+00
5.155000000000000693e-01,1.041067090074577761e+00,1.299102366004489584e+00
5.160000000000001252e-01,7.633907905566471586e-01,1.214298967614058533e+00
5.165000000000001812e-01,5.226701190152266419e-01,1.125025045884583852e+00
5.170000000000001261e-01,3.425844539275833545e-01,1.027778517280806492e+00
5.175000000000000711e-01,2.383738254183095928e-01,9.302003833132825861e-01
5.180000000000001270e-01,2.070191143270772027e-01,8.284876537340920555e-01
5.185000000000001830e-01,2.268268730990971593e-01,7.411826979482454281e-01
5.190000000000001279e-01,2.707917251568024986e-01,6.688512400987037809e-01
5.195000000000000728e-01,3.176566943954913236e-01,6.045054990229498104e-01
5.200000000000001288e-01,3.548777443154733091e-01,5.618827452768206943e-01
5.205000000000001847e-01,3.767487340871140677e-01,5.254816015928905903e-01
5.210000000000001297e-01,3.819172385919994972e-01,4.904805195005918494e-01
5.215000000000000746e-01,3.722666880140511614e-01,4.686556029135090506e-01
5.220000000000001306e-01,3.515564858796637604e-01,4.504629948842328591e-01
5.225000000000001865e-01,3.237130994894592551e-01,4.317921846471867164e-01
5.230000000000001315e-01,2.929055465186481966e-01,4.167496266292025631e-01
5.235000000000000764e-01,2.642957548305273630e-01,4.021541261034252690e-01
5.240000000000001323e-01,2.436994370897675455e-01,3.931719045375756671e-01
5.245000000000001883e-01,2.360428560546911358e-01,3.867062761994387587e-01
5.250000000000001332e-01,2.433055580347640023e-01,3.796294304737440894e-01
5.255000000000000782e-01,2.635209206805051441e-01,3.726101297991981087e-01
5.260000000000001341e-01,2.919190033150523278e-01,3.690239126266841030e-01
5.265000000000001901e-01,3.232738347519895639e-01,3.674685742294294677e-01
5.270000000000001350e-01,3.539114308782713159e-01,3.674507576116490259e-01
5.275000000000000799e-01,3.825043873502117497e-01,3.694677885202609646e-01
5.280000000000001359e-01,4.090824014137530718e-01,3.707867338123983503e-01
5.285000000000001918e-01,4.330915405798032580e-01,3.739925304078445256e-01
5.290000000000001368e-01,4.529776174253267729e-01,3.797772512891620100e-01
5.295000000000000817e-01,4.672611730706571764e-01,3.848921989165851043e-01
5.300000000000001377e-01,4.751160982792297927e-01,3.896123214783510091e-01
5.305000000000001936e-01,4.762787464084156097e-01,3.930554134960474455e-01
5.310000000000001386e-01,4.709792272768072996e-01,3.958508698086836697e-01
