n,gamma
10460,10269.3416745213376569728255788217876
10461,10269.5943949843202824296101105600411
10462,10270.8536446602348218270219909600258
10463,10272.5323334104879657677382431489533
10464,10272.8962135681664004157540396478612
10465,10273.4616897081288896725369880559446
10466,10274.3959134415703667802188987422484
10467,10275.2610441628072567118173228152345
10468,10275.8823007625967928014479953721103
10469,10276.6034455031811762586821429012712
10470,10277.6805303693169930718456627714329
10471,10278.4138560846518150490065261377998
10472,10279.7927107044718936173584844975615
10473,10280.4606276090003953754904272129039
10474,10281.1943287030355298367449807878407
10475,10282.1653463101822705943560282351825
10476,10282.6141289089614733904122227742361
10477,10284.0161286494787104377593247859006
10478,10284.7760824424363653217088573983084
10479,10285.2480816346323446151910629368625
10480,10286.1391355847037992422113875651801
10481,10286.5652197190511955983956046826258
10482,10287.8387068744944253765360297299975
10483,10289.0309666163338673471248910013008
10484,10289.7040130724740734358441231526927
10485,10290.9552109979379310820165132475667
10486,10291.5506686523958306361718422123860
10487,10292.1925336901124515671579312869002
10488,10293.1023009581926992713498339870567
10489,10293.3403797457621508367347411326305
10490,10294.8008687632377794244143926883363
10491,10295.5553288383725069430619941226918
10492,10296.4927239849482836644027442596421
10493,10297.0227127340782789070742961528855
10494,10298.2655703103425617374984192429774
10495,10299.1552984269131796114380162521995
10496,10299.7869351045112521743590888357698
10497,10301.1078934081689362933296112321509
10498,10301.6596397608545973411382398129030
10499,10302.2074790118566868462956160599261
10500,10303.2171111865787324936918751973307
10501,10304.1776234986083298718043248897842
10502,10304.5292845980611978144640584489919
10503,10305.2040671032167988343857472043756
10504,10306.9377304375653534794292563909359
10505,10307.9532730572485900166615606071979
10506,10308.5061125245797231648628348975036
10507,10309.2710721449766679816909172663514
10508,10309.7146780907446121380802385533618
10509,10311.0496226831191902575257998945389
10510,10311.7000486192840293404442940715041
10511,10312.4845015049060691839252406369147
10512,10313.2697318742579630203457644791174
10513,10314.3285681847551968629447948689927
10514,10314.8147800214510872696144235234516
10515,10315.9320247076851751125283222866113
10516,10316.9185818072448529041350482454910
10517,10317.8403269252730102805167079593781
10518,10318.8601301310923897329990968421926
10519,10319.5329690802082790904462132264402
10520,10320.2885824381002883042406274377898
10521,10320.8718141514627855673750364635806
10522,10321.5304847729204897029398451056238
10523,10322.4907479731496218715751758478221
10524,10323.6040174661260730833342481864111
10525,10324.5940905140832003703742408642136
10526,10325.2223142360135479512944322839997
10527,10326.5971728486599325930803766308642
10528,10327.0603245581809124436711289738124
10529,10327.8642152683676151711470822587790
10530,10328.4944983785480331622474608580259
10531,10329.5734888122880943206584246525504
10532,10330.8182329126820173437893529549878
10533,10331.1436708193457165289856591025424
10534,10331.5908025854136784442631914183698
10535,10332.7757568559217085737114559562781
10536,10333.4667556085425162944674778530623
10537,10335.0837663972550033257535596158416
10538,10335.7805133540211642102192981232916
10539,10336.5099285119572525910804339617559
10540,10337.2075681837432992056769001008683
10541,10338.1454936709884247820464676815513
10542,10338.6126349992539578105245545367065
10543,10339.5973531718433000006106603164494
10544,10340.4491066293058605037194690683160
10545,10341.1804518826723868295215520775192
10546,10342.2944415781352408294262044981544
10547,10343.6120774232742981463732483388575
10548,10343.8190156912093787144847482788807
10549,10344.5794615562107610910109563480772
10550,10345.9693014018583586300162299070254
10551,10346.7751817693877545798688968006749
10552,10347.3740705143804011255785655581550
10553,10348.2723395599397335724824585842144
10554,10348.7849563413572553032178406222181
10555,10349.6777793368369309227387054911250
10556,10350.7705008550878742901282439253254
10557,10351.0485293027208482019534529993333
10558,10352.9100873294901337679437116098454
10559,10353.6066284625981164799949556315366
10560,10354.2968832532322723727075809000068
10561,10355.1793101384976641370212050858555
10562,10355.6850440703562986847056132692603
10563,10356.5469830442139968605749158821391
10564,10357.3096311804645996788148831292193
10565,10358.6847759433951382370836585373603
10566,10359.1278735238016775106539325481136
10567,10359.8284185069953468066082047877595
10568,10360.6879917727232341449353403256333
10569,10362.0221484018295602934793526278248
10570,10362.8130966144031052284982786229904
10571,10363.5690250541341986876376386923173
10572,10364.4677736882058524438956230244019
10573,10365.3109421110767639990223339087550
10574,10366.2941388638539006317103078153143
10575,10366.5607893934936560035072744222799
10576,10367.4057860624809989788455636961042
10577,10368.0508262839360058481804639878665
10578,10369.6164709991353657900244097125793
10579,10370.3963849424436013248159864710891
10580,10371.4021074480979975594318182091422
10581,10372.0079518655788592231560942319161
10582,10373.0500738342671685132907044548838
10583,10373.3397620869322345623524698233530
10584,10374.6342332146716947361398662000169
10585,10375.6033032096076801355657367632962
10586,10375.8089118915024177732231725763854
10587,10377.1200535655468013099672970459666
10588,10377.6869332567072819635482534157010
10589,10378.4991634340686450485445894823516
