loop,t_near,u_near,distance,a,b,abs_a,abs_b,a_zero,b_zero,a_even,b_even,a_even_nonzero,b_even_nonzero,a_prime,b_prime,norm,norm_prime,theta_mod_2pi,arg_zeta_mod_2pi,theta_mod_pi,arg_zeta_mod_pi
52,149.5712825400371,0.8166666666666667,0.10202602989282193,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.8048728018170905,4.619905158952295,1.6632801482272974,1.478312505362502
53,150.48945532161838,0.5,0.6338378787600139,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.2615342961662535,0.02165101101333914,3.1199416425764603,0.02165101101333914
54,151.4500717393226,0.25,0.09840505821907508,0,1,0,1,True,False,True,False,False,False,False,False,1,False,1.5053443632273371,1.6362482903624624,1.5053443632273371,1.6362482903624624
55,154.56907208455334,0.5,0.057450575202552645,5,-1,5,1,False,False,False,False,False,False,True,False,26,False,0.20102604524583256,6.08215926193376,0.20102604524583256,2.9405666083439668
56,156.48427678136056,0.25,0.20193696621596235,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.2739070070913883,6.150870953677998,0.13231435350159515,3.009278300088205
57,158.30713174090357,0.5666666666666667,0.32858999916916853,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.209504369344181,0.07368093783541216,3.067911715754388,0.07368093783541216
58,160.76015230864476,0.8166666666666667,0.058322374414229085,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.8933025502009,5.531475410568486,0.7517098966111071,2.389882756978693
59,162.23254974661313,0.5666666666666667,0.12374940738640614,2,0,2,0,False,True,True,True,True,False,True,False,4,False,0.0002603137262511268,6.282924993453342,0.0002603137262511268,3.141332339863549
60,163.9497691782603,0.36666666666666664,0.11260680372448867,3,1,3,1,False,False,False,False,False,False,True,False,10,False,2.7962593613982634,0.3453332921915369,2.7962593613982634,0.3453332921915369
61,166.5253803795819,0.6,0.1308339221518254,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,0.7235487595447552,5.559636547634838,0.7235487595447552,2.418043894045045
62,168.39441526229305,0.6333333333333333,0.31765155057694705,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.7914388402000867,5.6333391205693,0.6498461866102936,2.4917464669795066
63,169.62576052489595,0.65,0.704962252130897,1,0,1,0,False,True,False,True,False,False,False,False,1,False,5.8182809605044525,0.4649043466751413,2.6766883069146594,0.4649043466751413
64,170.3782126209272,0.13333333333333333,0.028194571512658063,-1,1,1,1,False,False,False,False,False,False,False,False,2,True,0.7758631241909697,2.365729529398831,0.7758631241909697,2.365729529398831
65,173.76967918591995,0.26666666666666666,0.1398558076640571,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.1056052477715923,6.177580059408002,0.1056052477715923,3.035987405818209
66,175.5696460364181,0.48333333333333334,0.3237620058710445,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.098062458385499,0.0435301952043021,3.098062458385499,0.0435301952043021
67,177.022368593504,0.3,0.033608230574164705,1,1,1,1,False,False,False,False,False,False,False,False,2,True,5.51995667072805,0.7632286364515446,2.3783640171382565,0.7632286364515446
68,178.9416331963813,0.36666666666666664,0.19045046926246498,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.445589085046926,0.6960035685428754,2.445589085046926,0.6960035685428754
69,181.40536377506868,0.65,0.08552028333257049,3,-1,3,1,False,False,False,False,False,False,True,False,10,False,0.29658572755293733,5.986599579626657,0.29658572755293733,2.845006926036864
70,183.45194043212928,0.4666666666666667,0.12803781794745467,3,-2,3,2,False,False,False,True,False,True,True,True,13,True,3.7435074804169943,5.681270480352394,0.6019148268272012,2.539677826762601
